Title,Company Name,Promotion Text,Location,Experience Required
Backend Developer/ Sr. Backend Software Developer,Spaceship,N/A,Dhaka,2 to 6 year(s)
"Network Engineer, Solution & Support",Icon Infotech Ltd. (IIL),N/A,Dhaka,2 to 3 year(s)
System Support Engineer (ISP),AI Network,N/A,Gabindaganj,2 to 3 year(s)
Hardware and Network Support Engineer,Multifabs Limited,N/A,Gazipur,4 to 6 year(s)
UI/UX Designer,NEC Money Transfer Limited,N/A,Banasree,2 to 4 year(s)
Senior DevOps Engineer,BDTASK,We are looking for Top Level Linux Engineer/ Admin (DevOps) to join our team who is responsible & dedicated to complete assign work.,Khilkhet,2 to 5 year(s)
IT and Database Officer,Nature Conservation Management (NACOM),N/A,Anywhere in Bangladesh,3 to 6 year(s)
ক‌ম্পিউটার টেকনোল‌জি ইন্জিনিয়ার,Park Polytechnic Institute,N/A,Narayanganj Sadar,2 to 5 year(s)
WordPress Theme Developer,Clipping Path Graphics,N/A,Rangpur Sadar,2 to 5 year(s)
"Full Stack Software Engineer (PHP, Laravel, MERN)",12 rokom.com,N/A,Khilgaon,2 to 6 year(s)
Sr. Officer/ Officer (BackEnd Development),Paragon Group,N/A,Dhaka,5 to 8 year(s)
Lead DevOps Engineer,Enosis Solutions,N/A,Dhaka,At least 4 year(s)
Executive - IT (Technical Support),Omera Petroleum Limited,The primary objective is to ensure the smooth operation of technology software and to help users maximize their productivity by resolving technical issues efficiently and effectively.,Dhaka,2 to 4 year(s)
Senior Test Automation Engineer,BJIT Ltd.,N/A,Dhaka,At least 4 year(s)
IT Manager,"Labaid Specialized Hospital, Chattogram",N/A,Chattogram,10 to 15 year(s)
Software Engineer,Swosti Limited,N/A,Dhaka,Na
"Senior Software Engineer (PHP, Laravel, Linux)",Sulaco-tec,N/A,Uttara,At least 5 year(s)
PHP Senior Developer,Itransition Software Bangladesh Ltd,N/A,Anywhere in Bangladesh,At least 3 year(s)
"Sr. Officer/ Executive, NOC",UPAY (UCB Fintech Company Limited),N/A,Gulshan,At least 3 year(s)
Business Development Manager,FSN Solution Limited,N/A,Dhaka,At least 5 year(s)
Senior Cyber Security Engineer,FSN Solution Limited,N/A,Dhaka,At least 5 year(s)
React-Native Mobile App Developer,SaRa Lifestyle Ltd.,N/A,DOHS Mirpur,At least 2 year(s)
Head of Business & Technical,A Multinational Company,N/A,Uttar Khan,At least 10 year(s)
"Executive, IT",JMI Syringes & Medical Devices Ltd.,N/A,Chauddagram,3 to 5 year(s)
Data Scientist,Gildan-G.A.B. Limited,"$3 billion in sales, 12 countries, 45,000 employees, 5 brands, 1 common goal: to make apparel better. Better for the people who make our clothes, better for our world, better for you.",Gulshan,At least 3 year(s)
Sales Rockstar,NGen IT,N/A,Dhaka,1 to 3 year(s)
IT Support Staff,BAF SHAHEEN ENGLISH MEDIUM COLLEGE (SEMC),N/A,Tejgaon,At least 2 year(s)
Trainee Programmer (Java),Kazi Farms Group,N/A,Dhanmondi,At most 2 year(s)
Business Analyst,Next IT LTD,N/A,Banani,At least 8 year(s)
Power BI Developer,Metadesign Solutions Pvt,N/A,Anywhere in Bangladesh,7 to 10 year(s)
IT Officer,Olila Glass Industries Ltd.,N/A,Dhaka,2 to 3 year(s)
WordPress Theme Developer,bdCalling IT Ltd,N/A,Banasree,2 to 6 year(s)
Executive/Sr. Executive - ICT (ERP),A Reputed Garments Manufacturing Group of Company,ERP related working background will be highly appreciated.,Narayanganj,At least 3 year(s)
.Net Programmer,Generation Next IT Solution Ltd.,N/A,"Dhaka, Merul Badda",At least 1 year(s)
Assistant Manager /Sr. Executive- IT,Interstoff Apparels Limited,N/A,Gazipur,6 to 8 year(s)
Specialist/ Technician- Network/Fiber Optic,Ahmed Amin Group,N/A,Saudi Arabia,At least 5 year(s)
Software Engineer,Ahmed Amin Group,N/A,Saudi Arabia,At least 5 year(s)
Sr. Executive - PHP Laravel Developer,Paikaree.com.bd,N/A,Banasree,3 to 4 year(s)
IT Support Engineer (Dream Park International),Walton Hi-Tech Industries Ltd.,N/A,Anywhere in Bangladesh,2 to 3 year(s)
SQA / Sr. SQA Engineer,Adventure Dhaka Limited,"You can work in a Japanese-based multinational company with 100 talented employees. You may have the opportunity to communicate with Japanese, Indian, and other foreigners.You will work on in-house projects related to online travel agencies.","Dhaka, Banani",At least 3 year(s)
Frontend/ Sr. Frontend Engineer (Vue.js / Nuxt.js),Adventure Dhaka Limited,"You can work in a Japanese-based multinational company with 120 talented engineers.You may have the opportunity to communicate with Japanese, Indian, and other foreigners.","Dhaka, Banani",At least 2 year(s)
JAVA Developer (Project Based),Automation Solutionz Bangladesh,"3 to 4 Month ProjectCan Join ImmediatelyJava EE Projects ExperienceSpring Boot, Spring MVC, Spring Core, Spring SecurityMicroservicesMySQL, SQL Server, MongoDBREST, SOAPCollections, Transaction Management, Encryption/DecryptionJavaScript, jQuery, Ajax, JSP, Thymeleaf, JasperTomcat, JBoss, WAS, WLSSubversion, GIT, Eclipse, Maven, JenkinsDocker, Kubernetes, CI/CD Pipelines, Artifactory",Anywhere in Bangladesh,At least 4 year(s)
